Event,Longitude,Latitude,ID,Location,Country,Type,Dist shore_m,w_m
SOCP-001,178.3286799,-16.830916,1,Yadua,(FJ),Lagoon,291.9874203,35
SOCP-001,178.3312221,-16.81393222,2,Yadua,(FJ),Lagoon,451.6836649,50
SOCP-001,178.3066847,-16.80109123,3,Yadua,(FJ),Coastal,86.01195408,20
SOCP-001,178.2966518,-16.79998938,4,Yadua,(FJ),Coastal,53.92149316,20
SOCP-001,178.3045724,-16.83191936,5,Yadua,(FJ),Coastal,264.9250986,5
SOCP-002,-179.3206841,-17.77181355,6,Cicia,(FJ),Lagoon,266.8868385,10
SOCP-002,-179.3410226,-17.72734811,7,Cicia,(FJ),Lagoon,344.1833417,23
SOCP-002,-179.2903872,-17.72196897,8,Cicia,(FJ),Lagoon,439.2812177,95
SOCP-003,179.3675453,-18.07296746,9,Gau,(FJ),Lagoon,446.4152958,130
SOCP-003,179.3551498,-18.0414235,10,Gau,(FJ),Lagoon,421.4076234,200
SOCP-003,179.3548819,-18.02741796,11,Gau,(FJ),Lagoon,316.923561,50
SOCP-003,179.349134,-17.99775301,12,Gau,(FJ),Lagoon,821.0518604,175
SOCP-003,179.3374725,-17.97405777,13,Gau,(FJ),Lagoon,1162.698482,120
SOCP-003,179.3270588,-17.9478971,14,Gau,(FJ),Lagoon,1550.131789,150
SOCP-003,179.2531486,-17.94984694,15,Gau,(FJ),Coastal,890.7335647,160
SOCP-003,179.2032305,-17.99750056,16,Gau,(FJ),Open water,3519.208866,3800
SOCP-003,179.2622945,-18.08429996,17,Gau,(FJ),Open water,4388.868728,175
SOCP-003,179.3572649,-18.05428283,18,Gau,(FJ),Lagoon,395.0086438,100
SOCP-003,179.2645491,-17.94389927,19,Gau,(FJ),Coastal,446.3644349,470
SOCP-005,166.2521695,-22.35674939,20,Grande terre,(NC),Open water,17169.77452,1500
SOCP-005,166.099257,-22.16970562,21,Grande terre,(NC),Open water,8182.977384,1500
SOCP-005,165.9582081,-22.02531527,22,Grande terre,(NC),Lagoon,7739.392006,1700
SOCP-005,165.7614671,-21.8975356,23,Grande terre,(NC),Lagoon,6560.551754,850
SOCP-005,165.7247601,-21.85509456,24,Grande terre,(NC),Lagoon,6883.869036,750
SOCP-005,165.6315523,-21.80000915,25,Grande terre,(NC),Lagoon,5387.023062,500
SOCP-005,165.4378844,-21.65131822,26,Grande terre,(NC),Lagoon,3137.955126,2225
SOCP-005,165.3383826,-21.61261718,27,Grande terre,(NC),Lagoon,2061.406066,90
SOCP-005,165.2339151,-21.54805216,28,Grande terre,(NC),Lagoon,2847.22391,500
SOCP-005,165.2111289,-21.54277245,29,Grande terre,(NC),Lagoon,3752.331154,250
SOCP-005,165.0520137,-21.44386159,30,Grande terre,(NC),Lagoon,5676.659732,900
SOCP-005,164.9506203,-21.39749328,31,Grande terre,(NC),Lagoon,4337.250633,600
SOCP-005,164.7846404,-21.26059471,32,Grande terre,(NC),Lagoon,9468.301954,850
SOCP-005,164.7613228,-21.22960785,33,Grande terre,(NC),Lagoon,8884.930608,1000
SOCP-005,164.7083042,-21.12717659,34,Grande terre,(NC),Lagoon,4045.349484,400
SOCP-005,164.6078595,-21.00071753,35,Grande terre,(NC),Lagoon,5093.673227,880
SOCP-005,164.4205181,-20.94457746,36,Grande terre,(NC),Lagoon,11488.32572,420
SOCP-005,164.2532082,-20.74220542,37,Grande terre,(NC),Lagoon,12169.59027,3100
SOCP-005,164.249691,-20.67960143,38,Grande terre,(NC),Lagoon,8872.248,700
SOCP-005,163.8835754,-20.25262596,39,Grande terre,(NC),Open water,12119.02999,2900
SOCP-005,163.7804928,-20.11017575,40,Grande terre,(NC),Open water,22417.94363,175
SOCP-005,163.7687207,-20.08612773,41,Grande terre,(NC),Open water,23708.8105,2100
SOCP-005,163.4841648,-19.80010095,42,Grande terre,(NC),Open water,18359.34078,160
SOCP-005,163.3610094,-19.63193466,43,Grande terre,(NC),Open water,27174.68716,750
SOCP-005,163.8703307,-19.47480205,44,Grande terre,(NC),Open water,29987.61703,400
SOCP-005,163.9022107,-19.56398189,45,Grande terre,(NC),Open water,27569.82575,125
SOCP-005,163.9298327,-19.60234188,46,Grande terre,(NC),Open water,28476.1103,230
SOCP-005,163.9438623,-19.62060098,47,Grande terre,(NC),Open water,28754.65454,1200
SOCP-005,163.9533458,-19.63879415,48,Grande terre,(NC),Open water,28807.0841,70
